sample_sha256,sample_hash,sensitive_strings_ip,sensitive_strings_url
5BE03AAB6A0D55C77C345716287EA8C30C4C3251320AF861526684302CF07055,294C9603EBDDABE4FF7298FC7C79C979,101.251.226.226,"http://media.admob.com/sdk-core-v40.js,http://www.gstatic.com/safa/sdk-core-v40.js,http://101.251.226.226:40028/LocationService/v1/baselocation,http://app.snaildada.com/download.html,http://media.admob.com/mraid/v1/mraid_app_banner.js,http://media.admob.com/mraid/v1/mraid_app_expanded_banner.js,http://media.admob.com/mraid/v1/mraid_app_interstitial.js,http://schemas.android.com/apk/lib/com.tegswg.ads,http://schemas.android.com/apk/lib/com.tegswh.device.ads,http://schemas.android.com/apk/res/,http://tegswh-adsystem.com,http://tegswh-adsystem.tegswh.com/,http://www.tegswh.co.jp/gp/aw/aap/app/,http://www.tegswh.co.uk/gp/aw/aap/app/,http://www.tegswh.com/gp/aw/aap/app/,http://www.tegswh.de/gp/aw/aap/app/,http://www.tegswh.fr/gp/aw/aap/app/,https://bugsense.appspot.com/api/errors,http://e.admob.com/imp?ad_loc=@gw_adlocid@,http://e.admob.com/nofill?ad_loc=@gw_adlocid@"
B9D83E54B1D8316B1CCFEC1C458A372A296EAD9173C24023B99779587ADDEBCB,DAE399F4A3B569C21C9952819FE70CD3,,"http://mas.sdo.com/api-acquire-channel/services/queryOrderService,http://smk.csoft.com.hk/md5url.php,http://smk.csoft.com.hk/notifyurl.php,http://smk.csoft.com.hk/pageurl.php,http://smk.csoft.com.hk/productPaid.php,http://smk.csoft.com.hk/requestorderInfo.php,http://smk.csoft.com.hk/validatePaid.php,http://smk.shengpay.com/android/version.json"
6D9EB1F52A8CFE7060D9855BA51C1FCB2EAD5F472A5B22CFA6EFC506B1702931,5A7037E510D16B6F108A7305A6B56857,,http://f.appjiagu.com/jiagu/so/upgrade/1
71625AB3DAD725D41D64A08B64BA8D2E0A79E8DEAE4F7DF170DC1BBB75BC12DB,5EDC1D82B398C5FD607A5209850309DD,,"http://jf.1248e.com,http://jf.1248e.com/Jump.aspx,http://www.1248e.com,http://www.1248e.com/APP/appBoundCard.aspx,http://www.1248e.com/APP/appChange.aspx,http://www.1248e.com/APP/appClass.aspx,http://www.1248e.com/APP/appCollect.aspx,http://www.1248e.com/APP/appLogin.aspx,http://www.1248e.com/APP/appReg.aspx,http://www.1248e.com/APP/appVersion.aspx,http://www.1248e.com/APP/getAppList.aspx,http://www.1248e.com/APP/getDaidList.aspx,http://www.1248e.com/APP/getErgeList.aspx,http://www.1248e.com/APP/getGushiList.aspx,http://www.1248e.com/APP/getTuijian.aspx,http://www.1248e.com/APP/getZTList.aspx,http://www.1248e.com/APP/selectSource.aspx,http://www.1248e.com/APP/sendCode.aspx"
EC84CAC525E80279745F42FAE9179A360B701AB9AE1489C902ACCEFA48C974B0,86308811EFC78E63D644052BCB50FCF0,,"http://cdv_exec/,http://hostname/?,http://www.google-analytics.com/collect,https://git-wip-us.apache.org/repos/asf?p=incubator-cordova-android.git;a=blob;f=framework/res/xml/plugins.xml,https://ssl.google-analytics.com/collect,https://www.googletagmanager.com"
F8C02AED653F7C0E4A524FD25B10E6DE5EEF67D6FD4C670D3EEFC0C5DF2CEB28,CFC91E6DB2683419A81311FA8E9AE9CA,"10.10.58.171,211.140.7.141,211.140.7.143,211.140.7.143,221.181.100.53,221.226.48.130","http://cmread.voicecloud.cn/tts.htm,bsts=0,http://cmread.voicecloud.cn/index.htm,,http://www.slf4j.org/codes.html#substituteLogger,http://cmread.voicecloud.cn/index.htm,bsts=0,http://cmread.voicecloud.cn/tts.htm,bsts=0,http://cmread.voicecloud.cn,bsts=0,http://cmread.voicecloud.cn/index.htm,bsts=0,http://10.10.58.171:9990/cmread/downloadChargeTemplate,http://211.140.7.141/cmread/downloadChargeTemplate,http://211.140.7.143/sns/wap/p/myspace/commonShare.jsp?layout=2,http://211.140.7.143:8086/bbc/p/test_ply.jsp?vt=3,http://221.181.100.53:8088/,http://221.226.48.130:3072/cmread/downloadChargeTemplate,http://client.cmread.com/cmread/downloadChargeTemplate,http://demo.m8book.cn:8050/10see/index.do,http://dev.voicecloud.cn/msc/help.html,http://m.139site.com,http://purl.org/dc/elements/1.1/,http://sdk.open.phone.igexin.com/api.php,http://sdk.open.phone.igexin.com:8003/api.php,http://service.voicecloud.cn/mscAd/ad_version.php,http://service.voicecloud.cn/mscAd/upload_data.php,http://wap.cmread.com,http://wap.cmread.com/bbc/,http://wap.cmread.com/bbc/p/CGetWeatherJson.jsp?vt=3,http://wap.cmread.com/bbc/p/bookPic_First.jsp,http://wap.cmread.com/bbc/p/dingyue.jsp,http://wap.cmread.com/bbc/p/dingyue_center.jsp,http://wap.cmread.com/bbc/p/fb_pl.jsp?vt=3,http://wap.cmread.com/bbc/p/huati.jsp,http://wap.cmread.com/bbc/p/js_view.jsp,http://wap.cmread.com/bbc/p/jujiao.jsp,http://wap.cmread.com/bbc/p/share.jsp?vt=3,http://wap.cmread.com/bbc/p/video_play.jsp?vt=3,http://wap.cmread.com/cbc/l/v.jsp?vt=3,http://wap.cmread.com/cbc/p/baoyue_pic.jsp,http://wap.cmread.com/cbc/p/baoyue_pic.jsp?vt=3,http://wap.cmread.com/cbc/p/cartoon.jsp,http://wap.cmread.com/cbc/p/cartoon.jsp?vt=3,http://wap.cmread.com/cbc/p/cartoonRank.jsp,http://wap.cmread.com/cbc/p/cartoonRank.jsp?vt=3,http://wap.cmread.com/cbc/p/category.jsp,http://wap.cmread.com/cbc/p/category.jsp?vt=3,http://wap.cmread.com/cbc/p/category_tp.jsp,http://wap.cmread.com/cbc/p/category_tp.jsp?vt=3,http://wap.cmread.com/cbc/p/manhuahuodong.jsp,http://wap.cmread.com/cbc/p/manhuahuodong.jsp?vt=3,http://wap.cmread.com/cbc/p/mon_pay_index.jsp,http://wap.cmread.com/cbc/p/mon_pay_index.jsp?vt=3,http://wap.cmread.com/cbc/p/photo_pic.jsp,http://wap.cmread.com/cbc/p/photo_pic.jsp?vt=3,http://wap.cmread.com/cbc/p/tp_ph.jsp,http://wap.cmread.com/cbc/p/tp_ph.jsp?vt=3,http://wap.cmread.com/mbc/l/v.jsp?vt=3,http://wap.cmread.com/mbc/p/mazzl_rw.jsp,http://wap.cmread.com/mbc/p/mazzl_rw.jsp?vt=3,http://wap.cmread.com/mbc/p/phym.jsp,http://wap.cmread.com/mbc/p/phym.jsp?vt=3,http://wap.cmread.com/mbc/p/test_ppsy.jsp,http://wap.cmread.com/mbc/p/test_ppsy.jsp?vt=3,http://wap.cmread.com/mbc/p/zzfl.jsp,http://wap.cmread.com/mbc/p/zzfl.jsp?vt=3,http://wap.cmread.com/mbc/p/zzsy.jsp,http://wap.cmread.com/mbc/p/zzsy.jsp?vt=3,http://wap.cmread.com/pb,http://wap.cmread.com/r/l/v.jsp?bid=,http://wap.cmread.com/rbc/?vt=3,http://wap.cmread.com/rbc/l/v.jsp?vt=3,http://wap.cmread.com/rbc/p/baoyue_ts.jsp,http://wap.cmread.com/rbc/p/baoyue_ts.jsp?vt=3,http://wap.cmread.com/rbc/p/book_lastpage.jsp?vt=3,http://wap.cmread.com/rbc/p/category_ts.jsp,http://wap.cmread.com/rbc/p/category_ts.jsp?vt=3,http://wap.cmread.com/rbc/p/huiyuan.jsp,http://wap.cmread.com/rbc/p/huiyuan.jsp?vt=3,http://wap.cmread.com/rbc/p/hytq.jsp?vt=3,http://wap.cmread.com/rbc/p/mybooking.jsp?vt=3,http://wap.cmread.com/rbc/p/mybookmark.jsp,http://wap.cmread.com/rbc/p/mybuy.jsp?vt=3,http://wap.cmread.com/rbc/p/paihang.jsp,http://wap.cmread.com/rbc/p/paihang.jsp?vt=3,http://wap.cmread.com/rbc/p/pg/86/appdown/appdownload.html,http://wap.cmread.com/rbc/p/plmore.jsp?,http://wap.cmread.com/rbc/p/sort.jsp,http://wap.cmread.com/rbc/p/sort.jsp?vt=3,http://wap.cmread.com/rbc/p/t_pwpd.jsp,http://wap.cmread.com/rbc/p/t_search.jsp?vt=3,http://wap.cmread.com/rbc/p/tejia.jsp,http://wap.cmread.com/rbc/p/tejia.jsp?vt=3,http://wap.cmread.com/rbc/p/tjPage.jsp,http://wap.cmread.com/rbc/p/tjPage.jsp?vt=3,http://wap.cmread.com/rbc/p/tsSpecial.jsp,http://wap.cmread.com/rbc/p/tsSpecial.jsp?vt=3,http://wap.cmread.com/rbc/p/tsfl.jsp,http://wap.cmread.com/rbc/p/tsfl.jsp?vt=3,http://wap.cmread.com/rbc/p/wdsc.jsp?vt=3,http://wap.cmread.com/rbc/p/wdzl.jsp,http://wap.cmread.com/rbc/p/wdzl.jsp?vt=3,http://wap.cmread.com/rbc/p/zonghesy.jsp,http://wap.cmread.com/sso/p/thirdLoginForClient.jsp?e_l=3,http://wap.cmread.com/sso/p/thirdLoginForClient.jsp?e_l=3,http://www.baidu.com,http://www.cm-analysis.com/,http://www.daisy.org/z3986/2005/ncx/,http://www.idpf.org/2007/opf,http://www.slf4j.org/codes.html#unsuccessfulInit"
E999148DD6DE9CB6EA1000B6EBE7C372464E1A9142FA847DD7A7E156B8E054C7,FC750BC0503ED88BD02CC42E1A69EA64,,"http://media.admob.com/sdk-core-v40.js,http://www.gstatic.com/safa/sdk-core-v40.js,http://media.admob.com/mraid/v1/mraid_app_banner.js,http://media.admob.com/mraid/v1/mraid_app_expanded_banner.js,http://media.admob.com/mraid/v1/mraid_app_interstitial.js,http://schemas.android.com/apk/lib/com.google.ads,http://e.admob.com,http://e.admob.com,http://e.admob.com"
F1CBB1363FB2712B6A9F15B14E824BD95B85EB812D2CF7A24107A16B399FD6B9,AF708EC7709D52D95D4AA81F1B8F3390,,"http://alog.umeng.co,http://alog.umeng.com,http://oc.umeng.co,http://oc.umeng.com"
CDA4501862CFA60258F66C534EFC1305A18BBDB079156ED8EE415AC9B0872454,D2C8A5CFB63BEEC28688D7BD093648F4,,"http://www.example.com,http://www.google.com,https://accounts.google.com,https://config.unityads.unity3d.com,https://csi.gstatic.com,https://googleads.g.doubleclick.net/mads/static/mad/sdk/native/mraid/v2/mraid_app_banner.js,https://googleads.g.doubleclick.net/mads/static/mad/sdk/native/mraid/v2/mraid_app_expanded_banner.js,https://googleads.g.doubleclick.net/mads/static/mad/sdk/native/mraid/v2/mraid_app_interstitial.js,https://googleads.g.doubleclick.net/mads/static/mad/sdk/native/native_ads.html,https://googleads.g.doubleclick.net/mads/static/mad/sdk/native/sdk-core-v40.html,https://imasdk.googleapis.com/admob/sdkloader/native_video.html,https://login.live.com,https://login.yahoo.com,https://pagead2.googlesyndication.com,https://pagead2.googlesyndication.com,https://plus.google.com,https://support.google.com,https://twitter.com,https://www.facebook.com,https://www.google.com,https://www.google.com,https://www.google.com,https://www.google.com,https://www.googleapis.com,https://www.googleapis.com,https://www.googleapis.com,https://www.googleapis.com/auth/drive.appdata,https://www.googleapis.com/auth/drive.apps,https://www.googleapis.com/auth/drive.file,https://www.googleapis.com/auth/fitness.activity.read,https://www.googleapis.com/auth/fitness.activity.write,https://www.googleapis.com/auth/fitness.body.read,https://www.googleapis.com/auth/fitness.body.write,https://www.googleapis.com/auth/fitness.location.read,https://www.googleapis.com/auth/fitness.location.write,https://www.googleapis.com/auth/fitness.nutrition.read,https://www.googleapis.com/auth/fitness.nutrition.write,https://www.googleapis.com,https://www.googleapis.com/auth/games.firstparty,https://www.googleapis.com,https://www.googleapis.com/auth/plus.login,https://www.googleapis.com/auth/plus.me,https://www.linkedin.com,https://www.paypal.com"
7D542C49F850950BE6112B6F3A59DFC57DB1D55F2800D72CFDDA99CA22FF909F,3F9AC0FF276CCD40834B7BF682F49ABB,"115.28.6.156,115.28.6.156,115.28.6.156,115.28.6.156,115.28.6.156,115.28.6.156,115.28.6.156,115.28.6.156,115.28.6.156,115.28.6.156,115.28.6.156,115.28.6.156,115.28.6.156,115.28.6.156,115.28.6.156,115.28.6.156,115.28.6.156,115.28.6.156","http://etherx.jabber.org,http://jabber.org,http://www.jivesoftware.com,http://dev.voicecloud.cn/msc/help.html,dianping.com,http://api.map.baidu.com,http://api.map.baidu.com,http://api.map.baidu.com,http://api.map.baidu.com,http://daohang.map.baidu.com,http://daohang.map.baidu.com,http://dev.voicecloud.cn/msc/help.html,http://eat.degaosoft.com,http://eat.degaosoft.com,http://eat.degaosoft.com,http://eat.degaosoft.com,http://eat.degaosoft.com,http://eat.degaosoft.com,http://eat.degaosoft.com,http://eat.degaosoft.com,http://eat.degaosoft.com,http://eat.degaosoft.com,http://eat.degaosoft.com,http://eat.degaosoft.com,http://eat.degaosoft.com,http://eat.degaosoft.com,http://eat.degaosoft.com,http://jabber.org,http://loc.map.baidu.com,http://loc.map.baidu.com/sdk.php,http://loc.map.baidu.com/sdk_ep.php,http://loc.map.baidu.com/user_err.php,http://log.umsns.com,http://log.umsns.com,http://map.baidu.com/fwmap/upload/place/icon/#replace#/25.png,http://mo.baidu.com,http://service.voicecloud.cn/mscAd/ad_version.php,http://sns.whalecloud.com,http://sns.whalecloud.com,http://sns.whalecloud.com,http://sns.whalecloud.com,http://sns.whalecloud.com,http://sns.whalecloud.com,http://www.baidu.com,http://www.jivesoftware.com,http://www.umeng.com/images/pic/banner_module_social.png,http://www.umeng.com,http://xmlpull.org/v1/doc/features.html,https://sapi.map.baidu.com,http://dev.voicecloud.cn/msc/help.html"
